                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.62674,                0.29406,                0.77464,                0.89613,                 0.7323,                0.82837,                 0.5823,                 0.7808,                0.35283,                0.79401,             0.00014862,             0.00014862,             0.00014862
                     91,                0.60079,                0.29354,                 0.7731,                0.93273,                0.73105,                0.82335,                0.58115,                0.76201,                0.34952,                0.79289,             0.00013625,             0.00013625,             0.00013625
                     92,                 0.5869,                0.28887,                0.77336,                0.92568,                 0.7331,                0.82785,                0.58245,                0.77359,                0.34702,                0.79374,             0.00012387,             0.00012387,             0.00012387
                     93,                0.59022,                0.28413,                0.77473,                0.96373,                0.74959,                0.83606,                0.58891,                0.77759,                0.34911,                0.79344,              0.0001115,              0.0001115,              0.0001115
                     94,                0.56601,                0.27859,                0.77254,                0.95353,                0.71785,                0.81597,                0.58111,                0.79206,                0.35652,                0.79517,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                0.56704,                0.27714,                 0.7708,                0.94805,                0.72466,                0.82807,                0.58754,                0.77614,                0.35091,                 0.7933,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                 0.5653,                0.27793,                0.77199,                0.94673,                0.72177,                 0.8266,                0.58025,                0.78686,                0.35234,                0.79348,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                 0.5619,                0.27541,                0.77107,                0.96493,                0.71859,                0.83126,                0.58544,                0.77148,                0.33983,                0.79266,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                 0.5479,                0.27049,                0.77262,                0.95742,                0.72671,                0.82698,                0.58171,                0.77114,                0.34487,                0.79288,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                0.56475,                0.27404,                0.77126,                0.96119,                0.72827,                0.82767,                0.57898,                0.77683,                0.34386,                0.79303,              3.725e-05,              3.725e-05,              3.725e-05
                    100,                0.55181,                0.26981,                0.77045,                0.96266,                0.72142,                0.83015,                0.58322,                 0.7698,                0.35122,                0.79237,             2.4875e-05,             2.4875e-05,             2.4875e-05
